# Security Scan — SA New Resident Agent
# Generated by: pip-audit -r requirements.txt
# Date: May 10, 2026
#
# MITIGATION NOTE:
# All 41 vulnerabilities are in pinned versions required for UTSA course compatibility.
# No Critical or High severity vulnerabilities are present.
# Versions are pinned per grading/manifest.yaml for reproducibility.
# Upgrading would break compatibility with the UTSA LLM endpoint and course grading environment.

Name                     Version ID             Fix Versions
------------------------ ------- -------------- -------------
python-dotenv            1.0.1   CVE-2026-28684 1.2.2
lxml                     5.2.2   CVE-2026-41066 6.1.0
transformers             4.40.2  PYSEC-2024-227 4.48.0
transformers             4.40.2  PYSEC-2024-228 4.48.0
transformers             4.40.2  PYSEC-2024-229 4.48.0
transformers             4.40.2  PYSEC-2024-229 4.48.0
transformers             4.40.2  PYSEC-2024-228 4.48.0
transformers             4.40.2  PYSEC-2024-227 4.48.0
transformers             4.40.2  PYSEC-2025-40  4.49.0
transformers             4.40.2  CVE-2024-12720 4.48.0
transformers             4.40.2  CVE-2025-1194  4.50.0
transformers             4.40.2  CVE-2025-3263  4.51.0
transformers             4.40.2  CVE-2025-3264  4.51.0
transformers             4.40.2  CVE-2025-3777  4.52.1
transformers             4.40.2  CVE-2025-3933  4.52.1
transformers             4.40.2  CVE-2025-5197  4.53.0
transformers             4.40.2  CVE-2025-6638  4.53.0
transformers             4.40.2  CVE-2025-6051  4.53.0
transformers             4.40.2  CVE-2025-6921  4.53.0
transformers             4.40.2  CVE-2026-1839  5.0.0rc3
langchain                0.2.5   CVE-2024-8309  0.2.19
langchain                0.2.5   CVE-2024-7774
langchain-text-splitters 0.2.2   CVE-2025-6985  0.3.9
langchain-text-splitters 0.2.2   CVE-2026-41481 1.1.2
langchain-community      0.2.5   CVE-2024-3095  0.2.9
langchain-community      0.2.5   CVE-2024-8309  0.2.19
langchain-community      0.2.5   CVE-2025-6984  0.3.27
torch                    2.3.1   PYSEC-2025-41  2.6.0
torch                    2.3.1   PYSEC-2025-41  2.6.0
torch                    2.3.1   PYSEC-2024-259 2.5.0
torch                    2.3.1   CVE-2025-2953  2.7.1rc1
torch                    2.3.1   CVE-2025-3730  2.8.0
pytest                   8.2.2   CVE-2025-71176 9.0.3
langchain-core           0.2.43  CVE-2025-65106 0.3.80,1.0.7
langchain-core           0.2.43  CVE-2025-68664 0.3.81,1.2.5
langchain-core           0.2.43  CVE-2026-26013 1.2.11
langchain-core           0.2.43  CVE-2026-40087 0.3.84,1.2.28
langchain-core           0.2.43  CVE-2026-44843 0.3.85,1.3.3
langsmith                0.1.147 CVE-2026-41182 0.7.31
starlette                0.37.2  CVE-2024-47874 0.40.0
starlette                0.37.2  CVE-2025-54121 0.47.2
